Altium Designer Pick and Place Locations
Z:\networkedlasers\pcb\projector_board\Project Outputs for projector_board\Pick Place\Pick Place for projector_board.txt

========================================================================================================================
File Design Information:

Date:       15/11/20
Time:       20:43
Revision:   cc13b7dbc9f3bf1258562dfbbf8bbbf45bc23dea
Variant:    No variations
Units used: mil

Designator Comment          Layer    Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                            Height(mil) 
U3         AD5541ABRMZ      TopLayer RM-10_L                 850.000       460.000       360      "Single 16-Bit Voltage Output Digital-to-Analog Converter with Serial Interface, 2.7 to 5.5 V, -40 to +125 degC, RM-10, Pb-Free, Tube" 43.307      
FPGA       61001221121      TopLayer 61001221121             260.000       535.000       90       "SMT Vertical Pin Header WR-PHD, Pitch 2.54 mm, Dual Row, 12 pins"                                                                     377.953     
P5         +15V             TopLayer JST-B2B-XH-A_V          695.000       1745.000      90       "Male Header, Pitch 2.5 mm, 1 x 2 Position, Height 7 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"                               275.591     
D1         BAT54HT1G        TopLayer ONSC-SOD-323-2-477-02_V 950.000       1870.000      180      "Schottky Barrier Diode, 2-Pin SOD-323, Pb-Free, Tape and Reel"                                                                        41.811      
Q3         50C02MH-TL-E     TopLayer ONSC-MCPH-3_V           1455.000      1810.000      0        "Bipolar Transistor, 50 V, 0.5 A, Low VCE(sat), NPN Single, 3-Pin MCPH, Pb-Free, Tape and Reel"                                        35.433      
Q2         50C02MH-TL-E     TopLayer ONSC-MCPH-3_V           1460.000      1425.000      0        "Bipolar Transistor, 50 V, 0.5 A, Low VCE(sat), NPN Single, 3-Pin MCPH, Pb-Free, Tape and Reel"                                        35.433      
Q1         50C02MH-TL-E     TopLayer ONSC-MCPH-3_V           1445.000      1040.000      0        "Bipolar Transistor, 50 V, 0.5 A, Low VCE(sat), NPN Single, 3-Pin MCPH, Pb-Free, Tape and Reel"                                        35.433      
U8         AD8605ARTZ-REEL7 TopLayer ADI-RJ-5_M              1265.000      1750.000      360      "Single Channel Wide Bandwidth Operational Amplifier, 10 MHz BW, 5 V/us SR, Industrial, 5-pin SOT23 (RJ-5), Reel"                      57.087      
U7         AD8605ARTZ-REEL7 TopLayer ADI-RJ-5_M              1255.000      1370.000      0        "Single Channel Wide Bandwidth Operational Amplifier, 10 MHz BW, 5 V/us SR, Industrial, 5-pin SOT23 (RJ-5), Reel"                      57.087      
U6         AD8605ARTZ-REEL7 TopLayer ADI-RJ-5_M              1235.000      980.000       0        "Single Channel Wide Bandwidth Operational Amplifier, 10 MHz BW, 5 V/us SR, Industrial, 5-pin SOT23 (RJ-5), Reel"                      57.087      
